"word","position_score","psi","zeta","abs_zeta","political_leaning","frequency","position_rank","discrimination_rank"
"jederzeit",-0.0490171207540081,1.87932552748464,-0.125440608055166,0.125440608055166,"left",42,9744,16767
"unrealistisch",-0.0488768046669515,0.539528188989878,-0.0640117740679353,0.0640117740679353,"left",11,9745,17627
"unfair",-0.0487018528432338,0.444189323540091,-0.0608134959497275,0.0608134959497275,"left",10,9746,17675
"beschließen",-0.04865688720996,3.02439877737564,-0.220741592744192,0.220741592744192,"left",132,9747,15421
"gefahr",-0.0486237027581663,3.37270002756554,-0.262555145186668,0.262555145186668,"left",187,9748,14878
"sozialpartner",-0.0485820166908468,0.444169663930307,-0.0606632614845263,0.0606632614845263,"left",10,9749,17676.5
"verschließen",-0.0485820166908468,0.444169663930307,-0.0606632614845263,0.0606632614845263,"left",10,9750,17676.5
"gehalten",-0.0485643061795574,2.78597256384431,-0.19556153799443,0.19556153799443,"left",104,9751,15761
"mitglieder",-0.0484805830847995,2.85109812472624,-0.201686080440917,0.201686080440917,"left",111,9752,15654
"wertvoll",-0.0484558323532623,1.23260631366023,-0.0897435238163923,0.0897435238163923,"left",22,9753,17289
"überfordern",-0.0484311530058684,0.849610009634268,-0.0740653838497698,0.0740653838497698,"left",15,9754,17482
"verantworten",-0.0484079270648594,1.72507493349026,-0.114686354408314,0.114686354408314,"left",36,9755,16936
"waffenrecht",-0.0482540200064195,0.974744060476695,-0.0785590970916785,0.0785590970916785,"left",17,9756,17442
"selbstzweck",-0.0480934172256706,0.849554523581589,-0.0735468467197785,0.0735468467197785,"left",15,9757,17492
"fragestellungen",-0.047770738527016,0.706400601859302,-0.0680072004316457,0.0680072004316457,"left",13,9758,17573
"vorwiegend",-0.0477373928559872,0.220887297318394,-0.0533118512716008,0.0533118512716008,"left",8,9759,17796
"vielfältiger",-0.0476389057205116,1.36030536533804,-0.0940477335523531,0.0940477335523531,"left",25,9760,17195
"gefüllt",-0.0476337788673385,0.626335345996085,-0.0651511413767077,0.0651511413767077,"left",12,9761,17619
"pkw-maut",-0.0476176519987169,0.780483370034343,-0.0703473572997622,0.0703473572997622,"left",14,9762,17536
"chance",-0.0474875995657854,3.81815841965962,-0.320392826266864,0.320392826266864,"left",292,9763,14161
"hoheit",-0.0474624027156122,0.0873106146621229,-0.0495802804534976,0.0495802804534976,"left",7,9764,17862.5
"weisungen",-0.0474624027156122,0.0873106146621229,-0.0495802804534976,0.0495802804534976,"left",7,9765,17862.5
"wisst",-0.0474624027156122,0.0873106146621229,-0.0495802804534976,0.0495802804534976,"left",7,9766,17862.5
"exekutiven",-0.0474624027156122,0.0873106146621229,-0.0495802804534976,0.0495802804534976,"left",7,9767,17862.5
"staat",-0.0473517746497111,4.48701859317938,-0.446354551586557,0.446354551586557,"left",570,9768,12514
"spiegelt",-0.0470371135542481,0.974543674024747,-0.0765702620289748,0.0765702620289748,"left",17,9769,17464
